RefDes,Name,Pattern,Origin X (mm),Origin Y (mm),Side,Rotate,Value
BT1,KeyStone1087,KeyStone1087,19.75,-11.73,Top,90.0,
BT2,KeyStone1087,KeyStone1087,-19.75,-11.73,Top,270.0,
C1,C0603C105K3PACTU,CAP_0603_M,-20.32,22.86,Top,270.0,1uF
C2,C0603C105K3PACTU,CAP_0603_M,24.13,22.86,Top,270.0,1uF
J1,ISP-6-NO-OUTLINE-ALL_ROUND,ISP-6-NO-OUTLINE-All-ROUND,0,12.633,Bottom,180.0,
L1,Movement,Movement,0,0,Top,0.0,
LOGO,Logo-Mask,Logo-Mask,0,-28.133,Top,180.0,
S1,TL9320AF400QG,TL9320AF400QG,0,-37.104,Top,0.0,
U1,ATTINY25-20SSUR,SOIC8P127_489X599X175L83X41N,19.75,22.86,Top,0.0,
U2,RX8900-10SMD,10-SMD,-16.51,22.86,Top,90.0,
